,0
446,253.4300000000002
447,254.0000000000002
448,254.5400000000002
449,255.18000000000018
450,255.82000000000016
451,256.41000000000014
452,256.96000000000015
453,257.47000000000014
454,258.09000000000015
455,258.67000000000013
456,259.3000000000001
457,259.92000000000013
458,260.5500000000001
459,261.0800000000001
460,261.7300000000001
461,262.36000000000007
462,262.8500000000001
463,263.4500000000001
464,264.0300000000001
465,264.55000000000007
466,265.2300000000001
467,265.82000000000005
468,266.4800000000001
469,267.07000000000005
470,267.59000000000003
471,268.21000000000004
472,268.8
473,269.36
474,269.94
475,270.53
476,271.08
477,271.64
478,272.22999999999996
479,272.78999999999996
480,273.35999999999996
481,273.96
482,274.47999999999996
483,275.05999999999995
484,275.60999999999996
485,276.22999999999996
486,276.73999999999995
487,277.34
488,277.94
489,278.54
490,279.09000000000003
491,279.59000000000003
492,280.18
493,280.78000000000003
494,281.35
495,281.95000000000005
496,282.57000000000005
497,283.1700000000001
498,283.7300000000001
499,284.4000000000001
500,284.93000000000006
501,285.4200000000001
502,285.9200000000001
503,286.57000000000005
504,287.19000000000005
505,287.71000000000004
506,288.3
507,288.83
508,289.51
509,290.07
510,290.64
511,291.15
512,291.72999999999996
513,292.18999999999994
514,292.84999999999997
515,293.46
516,293.95
517,294.49
518,295.11
519,295.67
520,296.25
521,296.92
522,297.51
523,298.18
524,298.76
525,299.3
526,299.91
527,300.53000000000003
528,301.1
529,301.73
530,302.33000000000004
531,302.91
532,303.47
533,303.93
534,304.59000000000003
535,305.17
536,305.79
537,306.36
538,307.0
539,307.54
540,308.13
541,308.76
542,309.28999999999996
543,309.84
544,310.34
545,310.95
546,311.55
547,312.13
548,312.76
549,313.33
550,313.9
551,314.5
552,315.12
553,315.77
554,316.33
555,316.9
556,317.51
557,318.09999999999997
558,318.77
559,319.38
560,319.93
561,320.58
562,321.15999999999997
563,321.64
564,322.18
565,322.78000000000003
566,323.38000000000005
567,323.91
568,324.42
569,324.97
570,325.6
571,326.18
572,326.8
573,327.39
574,327.95
575,328.53
576,329.10999999999996
577,329.67999999999995
578,330.21999999999997
579,330.77
580,331.37
581,331.9
582,332.40999999999997
583,332.90999999999997
584,333.48999999999995
585,334.0199999999999
586,334.5199999999999
587,335.0999999999999
588,335.6099999999999
589,336.2199999999999
590,336.75999999999993
591,337.2799999999999
592,337.8499999999999
593,338.4299999999999
594,338.9499999999999
595,339.5499999999999
596,340.1399999999999
597,340.76999999999987
598,341.27999999999986
599,341.86999999999983
600,342.40999999999985
601,343.05999999999983
602,343.7099999999998
603,344.3199999999998
604,344.9099999999998
605,345.4899999999998
606,346.0499999999998
607,346.5199999999998
608,347.0299999999998
609,347.5999999999998
610,348.1099999999998
611,348.7299999999998
612,349.2799999999998
613,349.8499999999998
614,350.5099999999998
615,351.05999999999983
616,351.5699999999998
617,352.11999999999983
618,352.73999999999984
619,353.28999999999985
620,353.86999999999983
621,354.47999999999985
622,355.08999999999986
623,355.6899999999999
624,356.3199999999999
625,356.84999999999985
626,357.41999999999985
627,358.01999999999987
628,358.5699999999999
629,359.2399999999999
630,359.7499999999999
631,360.3499999999999
632,361.0199999999999
633,361.6099999999999
634,362.2199999999999
635,362.8099999999999
636,363.3699999999999
637,364.0099999999999
638,364.5699999999999
639,365.1899999999999
640,365.76999999999987
641,366.34999999999985
642,366.86999999999983
643,367.33999999999986
644,367.90999999999985
645,368.51999999999987
646,369.10999999999984
647,369.71999999999986
648,370.28999999999985
649,370.8199999999998
650,371.4699999999998
651,372.0799999999998
652,372.6599999999998
653,373.2099999999998
654,373.7799999999998
655,374.3099999999998
656,374.83999999999975
657,375.43999999999977
658,376.00999999999976
659,376.5599999999998
660,377.12999999999977
661,377.76999999999975
662,378.33999999999975
663,378.89999999999975
664,379.62999999999977
665,380.2299999999998
666,380.8399999999998
667,381.4799999999998
668,382.0599999999998
669,382.58999999999975
670,383.20999999999975
671,383.72999999999973
672,384.28999999999974
673,384.89999999999975
674,385.5499999999997
675,386.0799999999997
676,386.6799999999997
677,387.2599999999997
678,387.7499999999997
679,388.34999999999974
680,389.00999999999976
681,389.5599999999998
682,390.18999999999977
683,390.77999999999975
684,391.38999999999976
