,0
0,0.56
1,1.07
2,1.49
3,2.07
4,2.62
5,3.13
6,3.67
7,4.22
8,4.81
9,5.409999999999999
10,6.06
11,6.68
12,7.369999999999999
13,7.909999999999999
14,8.549999999999999
15,9.169999999999998
16,9.819999999999999
17,10.489999999999998
18,11.099999999999998
19,11.819999999999999
20,12.45
21,13.069999999999999
22,13.649999999999999
23,14.28
24,14.969999999999999
25,15.68
26,16.33
27,17.0
28,17.61
29,18.189999999999998
30,18.81
31,19.56
32,20.299999999999997
33,20.97
34,21.58
35,22.25
36,22.93
37,23.69
38,24.360000000000003
39,25.060000000000002
40,25.680000000000003
41,26.380000000000003
42,27.12
43,27.880000000000003
44,28.640000000000004
45,29.440000000000005
46,30.210000000000004
47,30.960000000000004
48,31.730000000000004
49,32.470000000000006
50,33.2
51,33.89
52,34.6
53,35.34
54,36.080000000000005
55,36.82000000000001
56,37.59000000000001
57,38.34000000000001
58,39.08000000000001
59,39.80000000000001
60,40.52000000000001
61,41.34000000000001
62,42.01000000000001
63,42.79000000000001
64,43.52000000000001
65,44.25000000000001
66,45.03000000000001
67,45.77000000000001
68,46.50000000000001
69,47.230000000000004
70,47.980000000000004
71,48.75000000000001
72,49.46000000000001
73,50.18000000000001
74,51.00000000000001
75,51.71000000000001
76,52.48000000000001
77,53.23000000000001
78,53.930000000000014
79,54.610000000000014
80,55.390000000000015
81,56.08000000000001
82,56.780000000000015
83,57.59000000000002
84,58.34000000000002
85,59.140000000000015
86,59.90000000000001
87,60.63000000000001
88,61.33000000000001
89,62.070000000000014
90,62.820000000000014
91,63.610000000000014
92,64.39000000000001
93,65.10000000000001
94,65.88000000000001
95,66.59
96,67.36
97,68.07
98,68.82
99,69.58
100,70.3
101,71.07
102,71.88999999999999
103,72.57999999999998
104,73.37999999999998
105,74.09999999999998
106,74.85999999999999
107,75.63999999999999
108,76.45999999999998
109,77.20999999999998
110,77.95999999999998
111,78.76999999999998
112,79.60999999999999
113,80.34999999999998
114,81.03999999999998
115,81.88999999999997
116,82.64999999999998
117,83.39999999999998
118,84.14999999999998
119,84.92999999999998
120,85.74999999999997
121,86.55999999999997
122,87.30999999999997
123,88.06999999999998
124,88.76999999999998
125,89.47999999999998
126,90.21999999999997
127,91.03999999999996
128,91.80999999999996
129,92.53999999999996
130,93.37999999999997
131,94.19999999999996
132,95.01999999999995
133,95.75999999999995
134,96.48999999999995
135,97.31999999999995
136,98.09999999999995
137,98.82999999999996
138,99.70999999999995
139,100.53999999999995
140,101.31999999999995
141,102.11999999999995
142,102.90999999999995
143,103.74999999999996
144,104.54999999999995
145,105.30999999999996
146,106.05999999999996
147,106.81999999999996
148,107.55999999999996
149,108.30999999999996
150,108.98999999999997
151,109.73999999999997
152,110.50999999999996
153,111.32999999999996
154,112.12999999999995
155,112.91999999999996
156,113.73999999999995
157,114.50999999999995
158,115.28999999999995
159,116.01999999999995
160,116.79999999999995
161,117.61999999999995
162,118.44999999999995
163,119.23999999999995
164,120.07999999999996
165,120.88999999999996
166,121.72999999999996
167,122.51999999999997
168,123.22999999999996
169,123.95999999999997
170,124.75999999999996
171,125.61999999999996
172,126.38999999999996
173,127.21999999999996
174,128.00999999999996
175,128.79999999999995
176,129.53999999999996
177,130.36999999999998
178,131.21999999999997
179,131.95999999999998
180,132.68999999999997
181,133.51999999999998
182,134.27999999999997
183,135.06999999999996
184,135.83999999999997
185,136.64999999999998
186,137.48
187,138.29999999999998
188,139.13
189,139.85999999999999
190,140.64
191,141.39
192,142.17
193,142.97
194,143.74
195,144.60000000000002
196,145.35000000000002
197,146.14000000000001
198,146.92000000000002
199,147.79000000000002
200,148.53000000000003
201,149.34000000000003
202,150.18000000000004
203,150.99000000000004
204,151.85000000000005
205,152.68000000000006
206,153.48000000000008
207,154.19000000000008
208,154.98000000000008
209,155.88000000000008
210,156.6800000000001
211,157.4600000000001
212,158.25000000000009
213,159.0900000000001
214,159.88000000000008
215,160.61000000000007
216,161.38000000000008
217,162.14000000000007
218,162.98000000000008
219,163.80000000000007
220,164.55000000000007
221,165.33000000000007
222,166.09000000000006
223,166.86000000000007
224,167.70000000000007
225,168.49000000000007
226,169.26000000000008
227,170.02000000000007
228,170.83000000000007
229,171.56000000000006
230,172.29000000000005
231,173.08000000000004
232,173.81000000000003
233,174.60000000000002
234,175.38000000000002
235,176.15000000000003
236,176.93000000000004
237,177.71000000000004
238,178.54000000000005
239,179.37000000000006
240,180.15000000000006
241,181.00000000000006
242,181.84000000000006
243,182.67000000000007
244,183.39000000000007
245,184.20000000000007
246,184.97000000000008
247,185.75000000000009
248,186.5800000000001
249,187.3600000000001
250,188.1600000000001
251,188.9100000000001
252,189.74000000000012
253,190.54000000000013
254,191.35000000000014
255,192.18000000000015
256,192.99000000000015
257,193.82000000000016
258,194.59000000000017
259,195.34000000000017
260,196.14000000000019
261,196.87000000000018
262,197.64000000000019
263,198.43000000000018
264,199.27000000000018
265,200.1300000000002
266,200.8700000000002
267,201.6900000000002
268,202.5100000000002
269,203.24000000000018
270,203.9800000000002
271,204.7800000000002
272,205.5900000000002
273,206.4100000000002
274,207.1800000000002
275,207.98000000000022
276,208.8000000000002
277,209.5900000000002
278,210.3500000000002
279,211.1200000000002
280,211.9300000000002
281,212.7200000000002
282,213.5800000000002
283,214.3100000000002
284,215.1300000000002
285,215.8800000000002
286,216.6600000000002
287,217.4600000000002
288,218.29000000000022
289,219.10000000000022
290,219.88000000000022
291,220.66000000000022
292,221.45000000000022
293,222.26000000000022
294,223.1500000000002
295,223.9400000000002
296,224.7300000000002
297,225.5300000000002
298,226.3100000000002
299,227.17000000000021
300,227.95000000000022
301,228.69000000000023
302,229.45000000000022
303,230.2100000000002
304,231.0000000000002
305,231.8000000000002
306,232.63000000000022
307,233.43000000000023
308,234.28000000000023
309,235.12000000000023
310,235.92000000000024
311,236.58000000000024
312,237.33000000000024
313,238.11000000000024
314,238.93000000000023
315,239.80000000000024
316,240.64000000000024
317,241.39000000000024
318,242.19000000000025
319,242.98000000000025
320,243.76000000000025
321,244.50000000000026
322,245.30000000000027
323,246.05000000000027
324,246.90000000000026
325,247.73000000000027
326,248.45000000000027
327,249.30000000000027
328,250.09000000000026
329,250.93000000000026
330,251.67000000000027
331,252.44000000000028
332,253.28000000000029
333,253.95000000000027
334,254.76000000000028
335,255.54000000000028
336,256.33000000000027
337,257.1200000000003
338,257.9400000000003
339,258.72000000000025
340,259.55000000000024
341,260.36000000000024
342,261.1300000000002
343,261.93000000000023
344,262.74000000000024
345,263.59000000000026
346,264.41000000000025
347,265.14000000000027
348,265.9400000000003
349,266.7500000000003
350,267.53000000000026
351,268.29000000000025
352,269.10000000000025
353,269.8800000000002
354,270.7100000000002
355,271.5700000000002
356,272.43000000000023
357,273.24000000000024
358,274.0200000000002
359,274.8500000000002
360,275.6000000000002
361,276.38000000000017
362,277.16000000000014
363,277.9400000000001
364,278.7200000000001
365,279.5300000000001
366,280.3200000000001
367,281.0300000000001
368,281.8300000000001
369,282.6600000000001
370,283.5300000000001
371,284.31000000000006
372,285.14000000000004
373,285.90000000000003
374,286.69000000000005
375,287.49000000000007
376,288.2900000000001
377,289.12000000000006
378,289.89000000000004
379,290.65000000000003
380,291.46000000000004
381,292.26000000000005
382,293.08000000000004
383,293.92
384,294.74
385,295.57
386,296.36
387,297.22
388,298.04
389,298.78000000000003
390,299.57000000000005
391,300.46000000000004
392,301.29
393,302.16
394,302.99
395,303.79
396,304.58000000000004
397,305.31000000000006
398,306.06000000000006
399,306.86000000000007
400,307.68000000000006
401,308.50000000000006
402,309.36000000000007
403,310.14000000000004
404,310.91
405,311.72
406,312.5
407,313.36
408,314.22
409,315.01000000000005
410,315.79
411,316.6
412,317.41
413,318.19
414,319.04
415,319.75
416,320.6
417,321.46000000000004
418,322.29
419,323.03000000000003
420,323.86
421,324.6
422,325.42
423,326.19
424,327.01
425,327.73
426,328.59000000000003
427,329.41
428,330.23
429,331.0
430,331.83
431,332.62
432,333.42
433,334.24
434,335.12
435,335.92
436,336.71000000000004
437,337.55
438,338.34000000000003
439,339.20000000000005
440,340.05000000000007
441,340.9100000000001
442,341.74000000000007
443,342.57000000000005
444,343.2900000000001
445,344.0800000000001
446,344.9300000000001
447,345.7000000000001
448,346.4800000000001
449,347.25000000000006
450,348.0400000000001
451,348.82000000000005
452,349.63000000000005
453,350.4200000000001
454,351.2800000000001
455,352.1000000000001
456,352.9000000000001
457,353.6300000000001
458,354.4300000000001
459,355.23000000000013
460,355.9900000000001
461,356.8600000000001
462,357.7000000000001
463,358.5100000000001
464,359.3500000000001
465,360.2100000000001
466,361.0000000000001
467,361.7800000000001
468,362.5900000000001
469,363.4200000000001
470,364.26000000000005
471,365.05000000000007
472,365.86000000000007
473,366.57000000000005
474,367.34000000000003
475,368.09000000000003
476,368.91
477,369.73
478,370.57
479,371.39
480,372.19
481,373.08
482,373.84
483,374.65999999999997
484,375.46999999999997
485,376.28
486,377.15
487,377.91999999999996
488,378.73999999999995
489,379.53
490,380.32
491,381.15999999999997
492,381.99999999999994
493,382.74999999999994
494,383.54999999999995
495,384.41999999999996
496,385.16999999999996
497,385.93999999999994
498,386.7699999999999
499,387.5299999999999
500,388.37999999999994
501,389.1599999999999
502,389.9999999999999
503,390.8199999999999
504,391.6099999999999
505,392.4799999999999
506,393.3399999999999
507,394.1599999999999
508,394.9199999999999
509,395.6799999999999
510,396.45999999999987
511,397.27999999999986
512,398.0099999999999
513,398.8599999999999
514,399.6399999999999
515,400.3899999999999
516,401.2499999999999
517,402.08999999999986
518,402.89999999999986
519,403.6999999999999
520,404.4899999999999
521,405.2199999999999
522,405.9699999999999
523,406.7399999999999
524,407.4599999999999
525,408.2799999999999
526,409.0299999999999
527,409.7999999999999
528,410.6899999999999
529,411.4199999999999
530,412.2499999999999
531,412.9899999999999
532,413.7599999999999
533,414.51999999999987
534,415.29999999999984
535,416.11999999999983
536,416.90999999999985
537,417.66999999999985
538,418.47999999999985
539,419.2599999999998
540,420.0999999999998
541,420.93999999999977
542,421.7399999999998
543,422.4899999999998
544,423.3099999999998
545,424.1599999999998
546,424.9299999999998
547,425.69999999999976
548,426.57999999999976
549,427.32999999999976
550,428.15999999999974
551,428.97999999999973
552,429.7399999999997
553,430.5799999999997
554,431.3999999999997
555,432.2299999999997
556,433.04999999999967
557,433.86999999999966
558,434.61999999999966
559,435.44999999999965
560,436.26999999999964
561,437.0499999999996
562,437.8899999999996
563,438.7199999999996
564,439.54999999999956
565,440.40999999999957
566,441.17999999999955
567,442.03999999999957
568,442.8899999999996
569,443.6199999999996
570,444.4499999999996
571,445.22999999999956
572,446.03999999999957
573,446.85999999999956
574,447.69999999999953
575,448.4699999999995
576,449.31999999999954
577,450.0899999999995
578,450.9099999999995
579,451.82999999999953
580,452.62999999999954
581,453.44999999999953
582,454.2699999999995
583,455.1599999999995
584,456.0299999999995
585,456.8599999999995
586,457.7099999999995
587,458.55999999999955
588,459.38999999999953
589,460.1599999999995
590,460.9799999999995
591,461.8199999999995
592,462.5799999999995
593,463.3899999999995
594,464.16999999999945
595,464.97999999999945
596,465.72999999999945
597,466.53999999999945
598,467.34999999999945
599,468.1399999999995
600,468.9999999999995
601,469.7899999999995
602,470.5999999999995
603,471.4099999999995
604,472.1799999999995
605,472.95999999999947
606,473.7599999999995
607,474.5599999999995
608,475.4299999999995
609,476.2599999999995
610,477.03999999999945
611,477.83999999999946
612,478.64999999999947
613,479.4399999999995
614,480.2299999999995
615,481.0499999999995
616,481.8199999999995
617,482.6699999999995
618,483.5099999999995
619,484.33999999999946
620,485.1399999999995
621,485.95999999999947
622,486.7599999999995
623,487.51999999999947
624,488.3099999999995
625,489.08999999999946
626,489.91999999999945
627,490.70999999999947
628,491.51999999999947
629,492.3699999999995
630,493.1899999999995
631,493.9999999999995
632,494.77999999999946
633,495.5799999999995
634,496.3699999999995
635,497.14999999999947
636,497.9499999999995
637,498.59999999999945
638,499.43999999999943
639,500.2599999999994
640,501.0799999999994
641,501.86999999999944
642,502.7599999999994
643,503.5799999999994
644,504.36999999999944
645,505.11999999999944
646,505.8999999999994
647,506.7599999999994
648,507.5199999999994
649,508.3899999999994
650,509.24999999999943
651,510.03999999999945
652,510.8899999999995
653,511.7399999999995
654,512.4999999999995
655,513.2599999999995
656,514.0599999999995
657,514.8299999999995
658,515.5999999999995
659,516.4199999999995
660,517.1999999999995
661,518.0199999999995
662,518.8199999999995
663,519.6499999999995
664,520.4199999999995
665,521.2499999999995
666,521.9999999999995
667,522.8699999999995
668,523.6299999999995
669,524.4399999999995
670,525.2399999999994
671,526.0699999999995
672,526.8999999999995
673,527.6899999999995
674,528.4899999999994
675,529.3399999999995
676,530.1199999999994
677,530.8799999999994
678,531.6799999999994
679,532.4499999999994
680,533.3199999999994
681,534.0299999999994
682,534.8299999999994
683,535.5899999999993
684,536.3899999999993
685,537.1699999999993
686,537.8999999999993
687,538.7299999999993
688,539.5599999999994
689,540.4099999999994
690,541.2299999999994
691,542.0599999999995
692,542.9399999999995
693,543.7399999999994
694,544.5299999999994
695,545.3499999999995
696,546.0899999999995
697,546.8999999999994
698,547.6599999999994
699,548.4899999999994
700,549.2999999999994
701,550.0799999999994
702,550.9399999999994
703,551.6699999999994
704,552.4799999999993
705,553.3299999999994
706,554.1199999999993
707,554.9299999999993
708,555.7999999999993
709,556.5599999999993
710,557.2899999999993
711,558.0999999999992
712,558.8799999999992
713,559.6699999999992
714,560.4399999999991
715,561.1999999999991
716,562.0599999999991
717,562.8299999999991
718,563.5899999999991
719,564.3999999999991
720,565.179999999999
721,565.949999999999
722,566.759999999999
723,567.5599999999989
724,568.279999999999
725,569.139999999999
726,569.999999999999
727,570.819999999999
728,571.679999999999
729,572.5099999999991
730,573.3299999999991
731,574.1699999999992
732,574.9899999999992
733,575.8199999999993
734,576.5999999999992
735,577.4499999999992
736,578.2899999999993
737,579.0599999999993
738,579.9299999999993
739,580.6799999999993
740,581.4699999999992
741,582.2699999999992
742,583.0799999999991
743,583.8699999999991
744,584.6299999999991
745,585.4899999999991
746,586.3199999999991
747,587.1599999999992
748,587.9399999999991
749,588.7499999999991
750,589.539999999999
751,590.3799999999991
752,591.2099999999991
753,591.9899999999991
754,592.789999999999
755,593.5099999999991
756,594.3499999999991
757,595.1999999999991
758,596.0099999999991
759,596.799999999999
760,597.6399999999991
761,598.4799999999991
762,599.3199999999991
763,600.1299999999991
764,600.929999999999
765,601.7499999999991
766,602.5699999999991
767,603.3999999999992
768,604.1999999999991
769,604.9799999999991
770,605.8299999999991
771,606.6699999999992
772,607.4899999999992
773,608.2399999999992
774,609.0599999999993
775,609.8799999999993
776,610.6599999999993
777,611.4599999999992
778,612.2599999999992
779,613.0499999999992
780,613.8599999999991
781,614.6499999999991
782,615.449999999999
783,616.299999999999
784,617.1499999999991
785,617.939999999999
786,618.739999999999
787,619.519999999999
788,620.3299999999989
789,621.149999999999
790,621.899999999999
791,622.6699999999989
792,623.519999999999
793,624.349999999999
794,625.199999999999
795,625.969999999999
796,626.769999999999
797,627.629999999999
798,628.399999999999
799,629.239999999999
800,630.009999999999
801,630.839999999999
802,631.689999999999
803,632.569999999999
804,633.3999999999991
805,634.2799999999991
806,635.069999999999
807,635.869999999999
808,636.619999999999
809,637.4299999999989
810,638.2899999999989
811,639.1899999999989
812,640.0799999999989
813,640.8099999999989
814,641.6099999999989
815,642.4099999999988
816,643.2099999999988
817,643.9799999999988
818,644.8199999999988
819,645.5499999999988
820,646.3799999999989
821,647.1999999999989
822,647.9999999999989
823,648.6999999999989
824,649.5499999999989
825,650.3499999999989
826,651.1999999999989
827,652.0399999999989
828,652.8099999999989
829,653.659999999999
830,654.509999999999
831,655.3099999999989
832,656.139999999999
